## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0032095	Toll-4	Toll-4-PA	
FBgn0032096	Or30a	Or30a-PA	
FBgn0032100	CG13108	CG13108-PA	
FBgn0032101	CG9586	CG9586-PB	
FBgn0032101	CG9586	CG9586-PC	
FBgn0032104	aust	aust-PA	aust-PB
FBgn0032105	borr	borr-PA	
FBgn0032105	borr	borr-PB	
FBgn0032109	CG17005	CG17005-PB	CG17005-PE
FBgn0032109	CG17005	CG17005-PC	
FBgn0032109	CG17005	CG17005-PD	
FBgn0032110	CG3748	CG3748-PB	CG3748-PC
FBgn0032111	CG13110	CG13110-PA	
FBgn0032115	CG4438	CG4438-PA	CG4438-PB
FBgn0032116	Mco1	Mco1-PA	Mco1-PB,Mco1-PC
FBgn0032117	FucTB	FucTB-PA	FucTB-PD
FBgn0032117	FucTB	FucTB-PC	
FBgn0032119	CG3769	CG3769-PA	
FBgn0032120	CG33298	CG33298-PA	CG33298-PC,CG33298-PD
FBgn0032120	CG33298	CG33298-PB	
FBgn0032122	CG31883	CG31883-PA	
FBgn0032123	Oatp30B	Oatp30B-PA	Oatp30B-PB,Oatp30B-PC
FBgn0032123	Oatp30B	Oatp30B-PD	
FBgn0032124	CG17855	CG17855-PA	
FBgn0032125	Cpr30B	Cpr30B-PA	
FBgn0032126	CG13113	CG13113-PA	
FBgn0032127	CG13114	CG13114-PB	
FBgn0032129	jp	jp-PA	jp-PB,jp-PD,jp-PE
FBgn0032129	jp	jp-PC	
FBgn0032130	CG3838	CG3838-PA	CG3838-PB
FBgn0032131	CG3841	CG3841-PA	CG3841-PB
FBgn0032132	CG4382	CG4382-PB	
FBgn0032135	GlcAT-S	GlcAT-S-PA	
FBgn0032135	GlcAT-S	GlcAT-S-PB	
FBgn0032135	GlcAT-S	GlcAT-S-PC	
FBgn0032136	Apoltp	Apoltp-PC	
FBgn0032138	CG4364	CG4364-PA	
FBgn0032139	CG13116	CG13116-PA	CG13116-PB
FBgn0032140	CG13117	CG13117-PA	CG13117-PB
FBgn0032143	CG4017	CG4017-PA	
FBgn0032144	CG17633	CG17633-PA	
FBgn0032147	IP3K1	IP3K1-PA	
FBgn0032147	IP3K1	IP3K1-PB	
FBgn0032149	CG4036	CG4036-PA	CG4036-PB
FBgn0032150	CG13123	CG13123-PA	
FBgn0032150	CG13123	CG13123-PB	CG13123-PC
FBgn0032151	nAChRalpha6	nAChRalpha6-PA	
FBgn0032151	nAChRalpha6	nAChRalpha6-PB	nAChRalpha6-PG
FBgn0032151	nAChRalpha6	nAChRalpha6-PC	
FBgn0032151	nAChRalpha6	nAChRalpha6-PD	
FBgn0032151	nAChRalpha6	nAChRalpha6-PE	
FBgn0032151	nAChRalpha6	nAChRalpha6-PH	
FBgn0032153	CG4537	CG4537-PB	
FBgn0032154	mtDNA-helicase	mtDNA-helicase-PA	
FBgn0032156	CG13124	CG13124-PA	CG13124-PB,CG13124-PE,CG13124-PF,CG13124-PG,CG13124-PH
FBgn0032156	CG13124	CG13124-PD	CG13124-PI,CG13124-PJ
FBgn0032157	Etl1	Etl1-PA	
FBgn0032160	CG4598	CG4598-PA	CG4598-PB
FBgn0032161	CG4594	CG4594-PA	CG4594-PB
FBgn0032162	CG4592	CG4592-PA	CG4592-PB
FBgn0032163	TbCMF46	TbCMF46-PA	
FBgn0032166	CG4619	CG4619-PA	CG4619-PB
FBgn0032167	CG5853	CG5853-PA	CG5853-PB,CG5853-PC
FBgn0032168	CG13126	CG13126-PA	CG13126-PB
FBgn0032169	CG4709	CG4709-PA	CG4709-PB
FBgn0032170	CG4658	CG4658-PA	CG4658-PB,CG4658-PC,CG4658-PD
FBgn0032170	CG4658	CG4658-PE	
FBgn0032171	CG5846	CG5846-PA	CG5846-PB
FBgn0032172	CG5850	CG5850-PA	CG5850-PD
FBgn0032172	CG5850	CG5850-PC	
FBgn0032172	CG5850	CG5850-PE	
FBgn0032172	CG5850	CG5850-PF	
FBgn0032172	CG5850	CG5850-PG	
FBgn0032175	CG13131	CG13131-PA	
FBgn0032176	CG13127	CG13127-PA	
FBgn0032178	Spn31A	Spn31A-PA	
FBgn0032181	CG13133	CG13133-PA	
FBgn0032184	CG13135	CG13135-PA	CG13135-PC
FBgn0032187	CG4839	CG4839-PA	CG4839-PB
FBgn0032188	CG13137	CG13137-PB	
FBgn0032189	Ripalpha	Ripalpha-PA	
FBgn0032191	CG5734	CG5734-PA	
FBgn0032192	CG5731	CG5731-PA	
FBgn0032193	CG5727	CG5727-PA	
FBgn0032194	CG4901	CG4901-PA	CG4901-PB,CG4901-PC
FBgn0032195	CG4908	CG4908-PA	CG4908-PB
FBgn0032196	CG5708	CG5708-PA	CG5708-PB,CG5708-PC
FBgn0032197	CG5694	CG5694-PA	CG5694-PB
FBgn0032198	eEF1delta	eEF1delta-PA	
FBgn0032198	eEF1delta	eEF1delta-PB	
FBgn0032200	CG5676	CG5676-PA	
FBgn0032202	REPTOR-BP	REPTOR-BP-PA	
FBgn0032202	REPTOR-BP	REPTOR-BP-PB	
FBgn0032202	REPTOR-BP	REPTOR-BP-PC	
FBgn0032202	REPTOR-BP	REPTOR-BP-PD	
FBgn0032204	CG4953	CG4953-PA	
FBgn0032205	CG4957	CG4957-PA	
FBgn0032208	CG5604	CG5604-PA	
FBgn0032209	Hand	Hand-PA	
FBgn0032210	CYLD	CYLD-PB	
FBgn0032210	CYLD	CYLD-PD	CYLD-PE
FBgn0032211	CG13138	CG13138-PB	CG13138-PC
FBgn0032213	CG5390	CG5390-PA	CG5390-PB
FBgn0032214	CG4968	CG4968-PA	
FBgn0032216	Usp14	Usp14-PA	Usp14-PB
FBgn0032217	CG4972	CG4972-PA	
FBgn0032218	CG5381	CG5381-PA	CG5381-PB,CG5381-PC
FBgn0032218	CG5381	CG5381-PD	
FBgn0032219	CG4995	CG4995-PA	CG4995-PB
FBgn0032219	CG4995	CG4995-PC	CG4995-PD
FBgn0032221	CG5375	CG5375-PB	
FBgn0032222	CG5037	CG5037-PA	
FBgn0032223	GATAd	GATAd-PA	GATAd-PB,GATAd-PC
FBgn0032224	Sps2	Sps2-PA	Sps2-PC
FBgn0032225	CG5022	CG5022-PA	
FBgn0032228	CG5367	CG5367-PA	
FBgn0032229	CG5045	CG5045-PA	CG5045-PB
FBgn0032230	lft	lft-PA	lft-PB
FBgn0032231	CG5056	CG5056-PA	
FBgn0032233	dpr19	dpr19-PA	dpr19-PB,dpr19-PC
FBgn0032234	gny	gny-PA	gny-PB
FBgn0032235	CG5096	CG5096-PA	
FBgn0032236	mRpS7	mRpS7-PA	mRpS7-PB
FBgn0032240	CG17768	CG17768-PA	CG17768-PB
FBgn0032242	CG5355	CG5355-PA	
FBgn0032243	Klp31E	Klp31E-PA	Klp31E-PB,Klp31E-PC
FBgn0032243	Klp31E	Klp31E-PE	
FBgn0032244	RfC3	RfC3-PA	
FBgn0032246	CG5168	CG5168-PA	CG5168-PB
FBgn0032247	CG5188	CG5188-PA	
FBgn0032248	Bug22	Bug22-PA	
FBgn0032249	CG5337	CG5337-PA	
FBgn0032250	holn1	holn1-PA	
FBgn0032251	Nse4	Nse4-PB	Nse4-PC
FBgn0032252	loh	loh-PA	
FBgn0032252	loh	loh-PC	
FBgn0032252	loh	loh-PD	
FBgn0032253	LManI	LManI-PA	LManI-PB
FBgn0032256	RluA-2	RluA-2-PA	RluA-2-PD
FBgn0032256	RluA-2	RluA-2-PC	
FBgn0032256	RluA-2	RluA-2-PE	
FBgn0032258	CG7456	CG7456-PA	
FBgn0032259	CG6144	CG6144-PB	CG6144-PC
FBgn0032260	CG13144	CG13144-PA	
FBgn0032261	CG6094	CG6094-PA	CG6094-PB
FBgn0032262	CG7384	CG7384-PA	
FBgn0032264	Lip4	Lip4-PA	
FBgn0032264	Lip4	Lip4-PB	
FBgn0032264	Lip4	Lip4-PC	
FBgn0032265	CG18301	CG18301-PA	
FBgn0032266	CG18302	CG18302-PA	
FBgn0032268	CG6138	CG6138-PA	
FBgn0032269	w-cup	w-cup-PA	
FBgn0032269	w-cup	w-cup-PB	
FBgn0032271	CG7329	CG7329-PA	CG7329-PB
FBgn0032276	CG17098	CG17098-PA	
FBgn0032280	CG17105	CG17105-PA	CG17105-PB
FBgn0032281	CG17107	CG17107-PA	CG17107-PB,CG17107-PC
FBgn0032282	CG7299	CG7299-PA	CG7299-PC
FBgn0032283	CG7296	CG7296-PA	CG7296-PB
FBgn0032284	CG7294	CG7294-PA	
FBgn0032285	CG17108	CG17108-PA	
FBgn0032286	CG7300	CG7300-PB	CG7300-PD
FBgn0032287	CG6415	CG6415-PA	
FBgn0032289	CG6431	CG6431-PB	
FBgn0032289	CG6431	CG6431-PC	
FBgn0032290	CG6443	CG6443-PA	
FBgn0032291	CG17118	CG17118-PA	
FBgn0032292	EMC3	EMC3-PA	
FBgn0032293	Dpy-30L1	Dpy-30L1-PA	
FBgn0032294	Vha16-5	Vha16-5-PA	
FBgn0032295	CG12299	CG12299-PA	
FBgn0032296	CG6729	CG6729-PA	
FBgn0032297	CG17124	CG17124-PA	CG17124-PB,CG17124-PC
FBgn0032298	CG6724	CG6724-PA	
FBgn0032298	CG6724	CG6724-PB	
FBgn0032299	CG17127	CG17127-PA	CG17127-PB
FBgn0032303	CG6508	CG6508-PA	
FBgn0032304	CG17134	CG17134-PA	
FBgn0032305	CG6700	CG6700-PA	CG6700-PB
FBgn0032311	CG12517	CG12517-PA	
FBgn0032312	CG14071	CG14071-PA	CG14071-PB,CG14071-PC
FBgn0032313	CG14070	CG14070-PA	CG14070-PB
FBgn0032314	CG7309	CG7309-PC	
FBgn0032315	CG14069	CG14069-PA	CG14069-PB
FBgn0032318	CG14072	CG14072-PA	CG14072-PB,CG14072-PC
FBgn0032321	YL-1	YL-1-PA	YL-1-PB
FBgn0032322	CG16743	CG16743-PA	
FBgn0032322	CG16743	CG16743-PB	
FBgn0032329	Art8	Art8-PA	
FBgn0032330	Samuel	Samuel-PA	Samuel-PB
FBgn0032330	Samuel	Samuel-PD	Samuel-PE
FBgn0032331	CG14913	CG14913-PB	
FBgn0032335	CG14915	CG14915-PA	
FBgn0032336	AstC	AstC-PA	
FBgn0032336	AstC	AstC-PB	
FBgn0032337	AstCC	AstCC-PB	
FBgn0032337	AstCC	AstCC-PC	
FBgn0032338	CG16854	CG16854-PB	CG16854-PD
FBgn0032338	CG16854	CG16854-PC	
FBgn0032339	CG4705	CG4705-PB	CG4705-PD
FBgn0032340	Ge-1	Ge-1-PA	Ge-1-PB
FBgn0032341	Reps	Reps-PA	
FBgn0032341	Reps	Reps-PB	
FBgn0032343	CG6201	CG6201-PA	
FBgn0032345	CG14921	CG14921-PA	
FBgn0032346	Csl4	Csl4-PA	
FBgn0032348	CG4751	CG4751-PA	
FBgn0032350	CG6287	CG6287-PA	
FBgn0032354	CG4788	CG4788-PA	CG4788-PB
FBgn0032358	Ppt2	Ppt2-PA	
FBgn0032359	Osi21	Osi21-PA	
FBgn0032360	CG14926	CG14926-PA	CG14926-PB,CG14926-PC
FBgn0032361	CG6488	CG6488-PA	
FBgn0032362	spz4	spz4-PB	
FBgn0032363	Dlg5	Dlg5-PA	Dlg5-PB
FBgn0032363	Dlg5	Dlg5-PC	
FBgn0032363	Dlg5	Dlg5-PD	
FBgn0032364	CG4970	CG4970-PB	
FBgn0032365	CG14929	CG14929-PA	CG14929-PB
FBgn0032366	CG14930	CG14930-PA	
FBgn0032368	spag4	spag4-PB	
FBgn0032369	CG6614	CG6614-PA	CG6614-PC
FBgn0032369	CG6614	CG6614-PB	
FBgn0032370	CG12307	CG12307-PA	
FBgn0032371	CG4983	CG4983-PA	CG4983-PB
FBgn0032372	CG4988	CG4988-PA	
FBgn0032373	Vha100-5	Vha100-5-PA	Vha100-5-PB
FBgn0032374	CG14931	CG14931-PB	
FBgn0032374	CG14931	CG14931-PC	
FBgn0032375	CG14932	CG14932-PB	
FBgn0032375	CG14932	CG14932-PC	
FBgn0032376	Tsp33B	Tsp33B-PA	
FBgn0032377	CG14937	CG14937-PA	
FBgn0032378	CycY	CycY-PA	CycY-PB
FBgn0032381	Mal-B1	Mal-B1-PA	
FBgn0032382	Mal-B2	Mal-B2-PA	Mal-B2-PC,Mal-B2-PD
FBgn0032385	CG16964	CG16964-PA	CG16964-PB
FBgn0032387	CG16965	CG16965-PC	
FBgn0032388	CG6686	CG6686-PA	
FBgn0032388	CG6686	CG6686-PB	
FBgn0032388	CG6686	CG6686-PC	
FBgn0032390	dgt2	dgt2-PA	dgt2-PB
FBgn0032391	escl	escl-PA	escl-PC
FBgn0032393	CG12264	CG12264-PA	
FBgn0032394	CG6746	CG6746-PA	
FBgn0032395	CG6734	CG6734-PA	
FBgn0032397	Tom70	Tom70-PA	Tom70-PB,Tom70-PC
FBgn0032398	CG6766	CG6766-PA	
FBgn0032399	CG6785	CG6785-PA	CG6785-PB,CG6785-PC
FBgn0032400	CG6770	CG6770-PA	
FBgn0032401	Plzf	Plzf-PA	Plzf-PB
FBgn0032402	CG14945	CG14945-PA	CG14945-PB
FBgn0032404	RpL7-like	RpL7-like-PA	RpL7-like-PB,RpL7-like-PC
FBgn0032405	CG14946	CG14946-PC	CG14946-PD,CG14946-PE
FBgn0032406	CG14947	CG14947-PA	
FBgn0032407	Pex19	Pex19-PA	Pex19-PC
FBgn0032408	CG6712	CG6712-PA	
FBgn0032409	Ced-12	Ced-12-PA	
FBgn0032414	CG17211	CG17211-PA	
FBgn0032415	rho-6	rho-6-PB	
FBgn0032415	rho-6	rho-6-PC	
FBgn0032416	Gr33a	Gr33a-PA	
FBgn0032419	CG17217	CG17217-PA	
FBgn0032420	CG6583	CG6583-PA	
FBgn0032421	crok	crok-PA	
FBgn0032422	atilla	atilla-PB	atilla-PC
FBgn0032424	CG17010	CG17010-PA	
FBgn0032428	CG6405	CG6405-PA	
FBgn0032429	CG5446	CG5446-PA	CG5446-PC
FBgn0032429	CG5446	CG5446-PB	
FBgn0032430	CG6388	CG6388-PA	
FBgn0032431	CG5435	CG5435-PA	CG5435-PB
FBgn0032433	Oatp33Ea	Oatp33Ea-PA	Oatp33Ea-PB
FBgn0032434	CG5421	CG5421-PA	CG5421-PB
FBgn0032435	Oatp33Eb	Oatp33Eb-PA	
FBgn0032436	CG5418	CG5418-PA	
FBgn0032439	Ref2	Ref2-PA	Ref2-PB,Ref2-PC
FBgn0032442	CG15485	CG15485-PA	CG15485-PB
FBgn0032444	CG5525	CG5525-PA	
FBgn0032445	CG6153	CG6153-PA	CG6153-PC
FBgn0032446	CG5780	CG5780-PB	
FBgn0032447	PICK1	PICK1-PA	
FBgn0032447	PICK1	PICK1-PB	PICK1-PD,PICK1-PF
FBgn0032447	PICK1	PICK1-PE	
FBgn0032448	CG5781	CG5781-PA	
FBgn0032449	CG17036	CG17036-PA	CG17036-PB
FBgn0032450	CG5776	CG5776-PA	CG5776-PB
FBgn0032451	spict	spict-PA	
FBgn0032451	spict	spict-PB	
FBgn0032452	CG15484	CG15484-PA	
FBgn0032453	CG6180	CG6180-PA	
FBgn0032454	CG5787	CG5787-PA	CG5787-PB
FBgn0032455	Pih1D1	Pih1D1-PA	
FBgn0032455	Pih1D1	Pih1D1-PD	
FBgn0032456	MRP	MRP-PA	MRP-PO
FBgn0032456	MRP	MRP-PB	
FBgn0032456	MRP	MRP-PC	
FBgn0032456	MRP	MRP-PD	
FBgn0032456	MRP	MRP-PE	
FBgn0032456	MRP	MRP-PF	
FBgn0032456	MRP	MRP-PG	
FBgn0032456	MRP	MRP-PH	
FBgn0032456	MRP	MRP-PI	
FBgn0032456	MRP	MRP-PJ	
FBgn0032456	MRP	MRP-PK	
FBgn0032456	MRP	MRP-PL	
FBgn0032456	MRP	MRP-PM	
FBgn0032456	MRP	MRP-PN	
FBgn0032456	MRP	MRP-PP	
FBgn0032456	MRP	MRP-PQ	
FBgn0032456	MRP	MRP-PR	
FBgn0032457	CG15483	CG15483-PA	
FBgn0032462	CG16800	CG16800-PB	
FBgn0032464	Vha68-3	Vha68-3-PA	
FBgn0032465	CG12404	CG12404-PA	
FBgn0032467	CG9934	CG9934-PA	CG9934-PB
FBgn0032470	CG5142	CG5142-PC	CG5142-PD
FBgn0032471	CG5122	CG5122-PA	
FBgn0032472	CG9928	CG9928-PA	CG9928-PB
FBgn0032473	CG5204	CG5204-PA	
FBgn0032474	DnaJ-H	DnaJ-H-PA	DnaJ-H-PB
FBgn0032474	DnaJ-H	DnaJ-H-PC	
FBgn0032475	Sfmbt	Sfmbt-PA	
FBgn0032475	Sfmbt	Sfmbt-PB	Sfmbt-PD
FBgn0032475	Sfmbt	Sfmbt-PC	
FBgn0032476	CG5439	CG5439-PA	
FBgn0032477	CG5287	CG5287-PA	
FBgn0032478	CG5458	CG5458-PA	
FBgn0032479	CG16974	CG16974-PA	CG16974-PB
FBgn0032480	Edem2	Edem2-PA	
FBgn0032480	Edem2	Edem2-PB	
FBgn0032481	CG16972	CG16972-PA	
FBgn0032482	Pect	Pect-PB	
FBgn0032482	Pect	Pect-PC	
FBgn0032482	Pect	Pect-PD	
FBgn0032482	Pect	Pect-PE	
FBgn0032483	CG15482	CG15482-PA	
FBgn0032484	kek4	kek4-PA	kek4-PB,kek4-PC
FBgn0032485	CG9426	CG9426-PA	
FBgn0032486	CG5705	CG5705-PA	
FBgn0032487	Ski6	Ski6-PA	Ski6-PB
FBgn0032488	CG16812	CG16812-PA	
FBgn0032489	CG15480	CG15480-PA	
FBgn0032490	CG16813	CG16813-PA	CG16813-PB
FBgn0032491	CG16815	CG16815-PB	
FBgn0032492	Prosalpha6T	Prosalpha6T-PA	
FBgn0032493	Mabi	Mabi-PA	
FBgn0032494	CG5945	CG5945-PA	CG5945-PB
FBgn0032495	CG16820	CG16820-PA	
FBgn0032499	Uvrag	Uvrag-PA	
FBgn0032499	Uvrag	Uvrag-PB	
FBgn0032503	CG16825	CG16825-PA	CG16825-PB
FBgn0032505	CG16826	CG16826-PA	CG16826-PB
FBgn0032506	CG9395	CG9395-PC	CG9395-PD
FBgn0032507	CG9377	CG9377-PA	
FBgn0032509	CG6523	CG6523-PA	
FBgn0032511	ND-B22	ND-B22-PA	ND-B22-PB
FBgn0032512	CG9305	CG9305-PA	
FBgn0032512	CG9305	CG9305-PB	
FBgn0032513	CG6565	CG6565-PA	CG6565-PB,CG6565-PC
FBgn0032514	CG9302	CG9302-PA	
FBgn0032515	loqs	loqs-PA	
FBgn0032515	loqs	loqs-PB	
FBgn0032515	loqs	loqs-PC	
FBgn0032515	loqs	loqs-PD	
FBgn0032515	loqs	loqs-PE	
FBgn0032515	loqs	loqs-PF	
FBgn0032516	CG9293	CG9293-PA	
FBgn0032516	CG9293	CG9293-PB	
FBgn0032517	CG7099	CG7099-PA	
FBgn0032518	RpL24	RpL24-PA	RpL24-PB,RpL24-PC
FBgn0032519	CG16957	CG16957-PA	CG16957-PB
FBgn0032520	CG10859	CG10859-PA	CG10859-PB
FBgn0032521	CG7110	CG7110-PB	CG7110-PC
FBgn0032522	CG16848	CG16848-PA	
FBgn0032523	CG16956	CG16956-PA	
FBgn0032524	CG9267	CG9267-PA	
FBgn0032525	Hsp60D	Hsp60D-PA	Hsp60D-PB
FBgn0032530	CG9263	CG9263-PA	
FBgn0032533	CG16888	CG16888-PA	
FBgn0032535	Ance-2	Ance-2-PA	
FBgn0032536	Ance-3	Ance-3-PB	Ance-3-PC
FBgn0032538	CG16885	CG16885-PA	
FBgn0032549	CG4650	CG4650-PB	
FBgn0032549	CG4650	CG4650-PC	
FBgn0032551	CG18636	CG18636-PA	
FBgn0032553	CG4480	CG4480-PB	CG4480-PC
FBgn0032554	CG15278	CG15278-PA	
FBgn0032554	CG15278	CG15278-PB	
FBgn0032554	CG15278	CG15278-PC	
FBgn0032563	CG15258	CG15258-PA	
FBgn0032577	CG13244	CG13244-PA	
FBgn0032582	CG13258	CG13258-PA	
FBgn0032582	CG13258	CG13258-PB	
FBgn0032585	CG4580	CG4580-PA	
FBgn0032586	Tpr2	Tpr2-PA	Tpr2-PD
FBgn0032586	Tpr2	Tpr2-PB	Tpr2-PE
FBgn0032586	Tpr2	Tpr2-PC	
FBgn0032587	CG5953	CG5953-PA	CG5953-PB,CG5953-PD
FBgn0032587	CG5953	CG5953-PC	
FBgn0032588	CG5968	CG5968-PA	CG5968-PB
FBgn0032590	CG4631	CG4631-PA	
FBgn0032593	Trpgamma	Trpgamma-PA	Trpgamma-PB
FBgn0032593	Trpgamma	Trpgamma-PD	
FBgn0032595	CG17996	CG17996-PA	
FBgn0032596	Prosbeta4	Prosbeta4-PA	Prosbeta4-PB
FBgn0032597	CG17904	CG17904-PA	
FBgn0032598	ChLD3	ChLD3-PA	
FBgn0032600	BuGZ	BuGZ-PA	
FBgn0032600	BuGZ	BuGZ-PB	BuGZ-PC,BuGZ-PD
FBgn0032600	BuGZ	BuGZ-PE	
FBgn0032600	BuGZ	BuGZ-PF	
FBgn0032600	BuGZ	BuGZ-PG	
FBgn0032601	yellow-b	yellow-b-PA	yellow-b-PB
FBgn0032602	ppk17	ppk17-PA	ppk17-PB
FBgn0032603	CG17928	CG17928-PA	CG17928-PB
FBgn0032609	CG13280	CG13280-PA	
FBgn0032609	CG13280	CG13280-PB	
FBgn0032612	CG13282	CG13282-PA	CG13282-PB
FBgn0032613	CG13283	CG13283-PA	
FBgn0032614	CG13284	CG13284-PA	CG13284-PE
FBgn0032614	CG13284	CG13284-PB	CG13284-PD
FBgn0032614	CG13284	CG13284-PC	
FBgn0032615	CG6012	CG6012-PA	
FBgn0032618	CG31743	CG31743-PA	CG31743-PB
FBgn0032620	CG12288	CG12288-PA	
FBgn0032624	CG6304	CG6304-PA	CG6304-PB
FBgn0032625	CG15136	CG15136-PA	CG15136-PB
FBgn0032626	CG12620	CG12620-PA	CG12620-PB
FBgn0032629	beat-IIIc	beat-IIIc-PA	
FBgn0032629	beat-IIIc	beat-IIIc-PB	
FBgn0032631	CG15140	CG15140-PB	
FBgn0032632	CG6380	CG6380-PA	CG6380-PB
FBgn0032633	Lrch	Lrch-PA	
FBgn0032633	Lrch	Lrch-PB	
FBgn0032633	Lrch	Lrch-PC	
FBgn0032634	Rpb11	Rpb11-PA	
FBgn0032635	CG15141	CG15141-PA	
FBgn0032636	CG5043	CG5043-PA	
FBgn0032637	CG5050	CG5050-PA	CG5050-PB
FBgn0032638	SPH93	SPH93-PA	
FBgn0032639	CG18563	CG18563-PB	
FBgn0032640	Sgt	Sgt-PA	Sgt-PB
FBgn0032642	CG5110	CG5110-PA	CG5110-PB
FBgn0032643	GCS2beta	GCS2beta-PA	GCS2beta-PB
FBgn0032644	CG5131	CG5131-PA	
FBgn0032645	CG15142	CG15142-PA	
FBgn0032646	CG6412	CG6412-PA	
FBgn0032647	CG15143	CG15143-PA	
FBgn0032648	CG15144	CG15144-PB	
FBgn0032649	CG15145	CG15145-PA	
FBgn0032650	CG7094	CG7094-PA	
FBgn0032651	Oli	Oli-PA	Oli-PB,Oli-PC,Oli-PD
FBgn0032652	CG6870	CG6870-PA	CG6870-PB
FBgn0032654	CG15147	CG15147-PA	
FBgn0032656	CG5674	CG5674-PA	
FBgn0032656	CG5674	CG5674-PB	
FBgn0032656	CG5674	CG5674-PD	
FBgn0032656	CG5674	CG5674-PE	
FBgn0032658	CG5681	CG5681-PA	
FBgn0032660	elfless	elfless-PB	elfless-PC
FBgn0032663	CG15153	CG15153-PA	
FBgn0032664	CG5755	CG5755-PA	
FBgn0032665	CG15152	CG15152-PA	CG15152-PB
FBgn0032666	CG5758	CG5758-PA	CG5758-PB,CG5758-PC,CG5758-PD,CG5758-PE,CG5758-PF
FBgn0032668	CG17681	CG17681-PA	
FBgn0032669	CG15155	CG15155-PA	
FBgn0032669	CG15155	CG15155-PB	
FBgn0032670	CG5783	CG5783-PA	
FBgn0032671	CG7200	CG7200-PA	CG7200-PB
FBgn0032677	CG5790	CG5790-PA	CG5790-PB
FBgn0032679	bsf	bsf-PA	
FBgn0032680	Ntf-2r	Ntf-2r-PA	
FBgn0032681	CG10283	CG10283-PA	CG10283-PB
FBgn0032681	CG10283	CG10283-PC	CG10283-PD
FBgn0032682	grnd	grnd-PB	grnd-PC
FBgn0032683	kon	kon-PB	kon-PC,kon-PD
FBgn0032684	CG10178	CG10178-PA	CG10178-PB
FBgn0032685	CG10211	CG10211-PA	CG10211-PB
FBgn0032688	CG15160	CG15160-PA	
FBgn0032688	CG15160	CG15160-PB	
FBgn0032688	CG15160	CG15160-PC	
FBgn0032689	CG10413	CG10413-PA	CG10413-PB
FBgn0032690	CG10333	CG10333-PA	
FBgn0032691	Atac2	Atac2-PA	
FBgn0032692	CG15161	CG15161-PA	
FBgn0032693	Cyp310a1	Cyp310a1-PA	
FBgn0032694	MESR3	MESR3-PA	MESR3-PC
FBgn0032694	MESR3	MESR3-PB	
FBgn0032694	MESR3	MESR3-PD	
FBgn0032698	CG10336	CG10336-PA	CG10336-PC
FBgn0032699	CG10383	CG10383-PA	CG10383-PB
FBgn0032700	CG10338	CG10338-PA	CG10338-PB
FBgn0032701	CG10341	CG10341-PA	
FBgn0032701	CG10341	CG10341-PC	
FBgn0032702	CG10376	CG10376-PA	
FBgn0032703	CG10343	CG10343-PA	
FBgn0032704	Jwa	Jwa-PB	
FBgn0032705	Grip71	Grip71-PA	
FBgn0032706	Irk3	Irk3-PA	
FBgn0032706	Irk3	Irk3-PC	
FBgn0032706	Irk3	Irk3-PD	
FBgn0032707	CG10348	CG10348-PB	CG10348-PC
FBgn0032709	CG15167	CG15167-PA	
FBgn0032713	CG17323	CG17323-PA	CG17323-PC,CG17323-PD,CG17323-PE
FBgn0032715	CG17597	CG17597-PA	CG17597-PB
FBgn0032717	CG10600	CG10600-PA	
FBgn0032717	CG10600	CG10600-PB	
FBgn0032717	CG10600	CG10600-PC	
FBgn0032719	CG17321	CG17321-PA	CG17321-PB
FBgn0032720	mRpL13	mRpL13-PA	
FBgn0032721	CG10602	CG10602-PC	CG10602-PD
FBgn0032721	CG10602	CG10602-PF	
FBgn0032723	ssp3	ssp3-PA	
FBgn0032723	ssp3	ssp3-PB	
FBgn0032724	CG10428	CG10428-PA	
FBgn0032725	Nedd8	Nedd8-PA	Nedd8-PB
FBgn0032726	CG10621	CG10621-PA	CG10621-PB,CG10621-PC
FBgn0032727	CG10623	CG10623-PA	CG10623-PB,CG10623-PC
FBgn0032728	Tango6	Tango6-PA	
FBgn0032729	CG10639	CG10639-PA	CG10639-PB,CG10639-PC
FBgn0032730	CG10431	CG10431-PA	CG10431-PB
FBgn0032731	Swip-1	Swip-1-PA	Swip-1-PB
FBgn0032732	CG15168	CG15168-PA	
FBgn0032733	CG15170	CG15170-PA	
FBgn0032733	CG15170	CG15170-PB	
FBgn0032734	CG15169	CG15169-PA	
FBgn0032740	CG15172	CG15172-PA	CG15172-PB,CG15172-PC,CG15172-PD
FBgn0032741	Sidpn	Sidpn-PA	
FBgn0032744	Ttc19	Ttc19-PA	
FBgn0032746	CG10470	CG10470-PA	
FBgn0032748	CG10492	CG10492-PA	CG10492-PB
FBgn0032749	Phlpp	Phlpp-PA	Phlpp-PB
FBgn0032750	CG10495	CG10495-PA	
FBgn0032751	CG17343	CG17343-PA	
FBgn0032752	CG10702	CG10702-PA	CG10702-PB,CG10702-PC,CG10702-PD
FBgn0032753	CG17572	CG17572-PA	
FBgn0032754	CG10700	CG10700-PA	
FBgn0032755	CG17344	CG17344-PA	
FBgn0032763	CG17568	CG17568-PA	
FBgn0032768	CG17564	CG17564-PB	
FBgn0032769	CG10750	CG10750-PA	
